Authors,Total_Contacts,Reference_Genome,Cis_Contacts,Cis Percent,Cis/Total,Trans percent,Trans contacts,Cis/Trans
Ulianov et al 2021,147380,dm3,137910,,0.936,,,
Ulianov et al 2021,29834,dm3,27858,,0.934,,,
Ulianov et al 2021,215642,dm3,200316,,0.929,,,
Ulianov et al 2021,82872,dm3,76488,,0.923,,,
Ulianov et al 2021,54116,dm3,49972,,0.923,,,
Ulianov et al 2021,54428,dm3,49370,,0.907,,,
Ulianov et al 2021,45426,dm3,40920,,0.901,,,
Ulianov et al 2021,155534,dm3,139934,,0.9,,,
Ulianov et al 2021,76036,dm3,67954,,0.894,,,
Ulianov et al 2021,50952,dm3,45462,,0.892,,,
Ulianov et al 2021,70838,dm3,63056,,0.89,,,
Ulianov et al 2021,22174,dm3,19726,,0.89,,,
Ulianov et al 2021,76348,dm3,67882,,0.889,,,
Ulianov et al 2021,49762,dm3,43744,,0.879,,,
Ulianov et al 2021,61238,dm3,53006,,0.866,,,
Ulianov et al 2021,23376,dm3,18150,,0.776,,,
Ulianov et al 2021,16064,dm3,12106,,0.754,,,
Ulianov et al 2021,28646,dm3,20986,,0.733,,,
Ulianov et al 2021,43076,dm3,31224,,0.725,,,
Ulianov et al 2021,25066,dm3,16948,,0.676,,,
Flyamer et al 2017,66783,hg19,61376,,0.919,,,
Flyamer et al 2017,49745,hg19,42929,,0.863,,,
Flyamer et al 2017,356255,hg19,306169,,0.859,,,
Flyamer et al 2017,182949,hg19,157045,,0.858,,,
Flyamer et al 2017,141322,hg19,121183,,0.857,,,
Flyamer et al 2017,263643,hg19,223809,,0.849,,,
Flyamer et al 2017,285306,hg19,241311,,0.846,,,
Flyamer et al 2017,106925,hg19,89768,,0.84,,,
Flyamer et al 2017,354583,hg19,295863,,0.834,,,
Flyamer et al 2017,5616,hg19,3407,,0.607,,,
Flyamer et al 2017,3269,hg19,1878,,0.574,,,
Flyamer et al 2017,2009,hg19,966,,0.481,,,
Flyamer et al 2017,1890,hg19,802,,0.424,,,
Flyamer et al 2017,1430,hg19,579,,0.405,,,
Flyamer et al 2017,1790,hg19,716,,0.4,,,
Flyamer et al 2017,1284,hg19,510,,0.397,,,
Flyamer et al 2017,1560,hg19,495,,0.317,,,
Flyamer et al 2017,1258,hg19,354,,0.281,,,
Flyamer et al 2017,1467,hg19,338,,0.23,,,
Flyamer et al 2017,1386,hg19,310,,0.224,,,
Flyamer et al 2017,1155,hg19,257,,0.223,,,
Flyamer et al 2017,1017,hg19,219,,0.215,,,
Flyamer et al 2017,1154,hg19,217,,0.188,,,
Flyamer et al 2017,1130,hg19,203,,0.18,,,
Flyamer et al 2017,1403,hg19,249,,0.177,,,
Flyamer et al 2017,1297,hg19,230,,0.177,,,
Flyamer et al 2017,1171,hg19,203,,0.173,,,
Flyamer et al 2017,1181,hg19,200,,0.169,,,
Flyamer et al 2017,1029,hg19,169,,0.164,,,
Flyamer et al 2017,1302,hg19,188,,0.144,,,
Flyamer et al 2017,1023,hg19,135,,0.132,,,
Flyamer et al 2017,1352,hg19,169,,0.125,,,
Flyamer et al 2017,1057,hg19,90,,0.085,,,
Flyamer et al 2017,1015,hg19,83,,0.082,,,
Kim et al 2020,2708,hg19,2665,,0.984,,,
Kim et al 2020,2272,hg19,2234,,0.983,,,
Kim et al 2020,4967,hg19,4885,,0.983,,,
Kim et al 2020,1715,hg19,1684,,0.982,,,
Kim et al 2020,3267,hg19,3204,,0.981,,,
Kim et al 2020,3614,hg19,3546,,0.981,,,
Kim et al 2020,5689,hg19,5573,,0.98,,,
Kim et al 2020,2739,hg19,2683,,0.98,,,
Kim et al 2020,5078,hg19,4975,,0.98,,,
Kim et al 2020,2817,hg19,2755,,0.978,,,
Kim et al 2020,3484,hg19,3407,,0.978,,,
Kim et al 2020,3800,hg19,3717,,0.978,,,
Kim et al 2020,11034,hg19,10782,,0.977,,,
Kim et al 2020,7210,hg19,7047,,0.977,,,
Kim et al 2020,1834,hg19,1792,,0.977,,,
Kim et al 2020,2500,hg19,2439,,0.976,,,
Kim et al 2020,5907,hg19,5767,,0.976,,,
Kim et al 2020,2731,hg19,2666,,0.976,,,
Kim et al 2020,6978,hg19,6803,,0.975,,,
Kim et al 2020,4101,hg19,3999,,0.975,,,
Kim et al 2020,1080,hg19,1052,,0.974,,,
Kim et al 2020,4805,hg19,4680,,0.974,,,
Kim et al 2020,3697,hg19,3600,,0.974,,,
Kim et al 2020,1360,hg19,1324,,0.974,,,
Kim et al 2020,6006,hg19,5846,,0.973,,,
Kim et al 2020,3870,hg19,3760,,0.972,,,
Kim et al 2020,10597,hg19,10303,,0.972,,,
Kim et al 2020,1079,hg19,1049,,0.972,,,
Kim et al 2020,5911,hg19,5737,,0.971,,,
